BTC1,BTC2,BTC3,BTC4,BTC5,RTC1,RTC2,RTC3,RTC4,RTC5,WIN
62,99,85,56,27,12,49,25,59,0,0
126,118,51,97,136,40,58,112,96,77,100
14,85,24,99,115,96,118,84,43,126,100
16,8,99,31,62,93,11,146,72,103,0
14,99,112,24,44,65,29,77,40,57,100
88,14,99,29,24,93,40,25,11,15,0
97,40,141,7,25,79,115,99,114,65,100
97,40,141,7,25,79,115,99,114,65,100
85,126,114,87,93,64,99,16,72,92,0
72,39,77,84,111,43,21,14,65,34,0
79,16,87,40,27,42,24,99,129,0,0
99,52,72,51,135,17,2,136,41,87,100
14,85,24,99,115,96,118,84,43,126,100
16,8,99,31,62,93,11,146,72,103,0
14,99,112,24,44,65,29,77,40,57,100
88,14,99,29,24,93,40,25,11,15,0
97,40,141,7,25,79,115,99,114,65,100
97,40,141,7,25,79,115,99,114,65,100
85,126,114,87,93,64,99,16,72,92,0
72,39,77,84,111,43,21,14,65,34,0
79,16,87,40,27,42,24,99,129,0,0
99,52,72,51,135,17,2,136,41,87,100
53,92,12,16,48,49,109,121,62,111,0
82,122,11,100,99,24,12,45,69,27,100
48,9,77,93,51,36,11,99,127,2,0
87,7,77,25,0,24,99,35,127,14,0
46,11,85,93,114,62,126,14,50,0,0
92,72,97,32,63,35,84,2,118,126,0
72,62,30,56,118,27,28,0,61,44,0
72,62,30,56,118,27,28,0,61,44,0
75,95,25,99,19,131,11,72,100,62,100
75,95,25,99,19,131,11,72,100,62,100
77,7,122,62,0,2,43,118,65,119,0
77,7,122,62,0,2,43,118,65,119,0
62,112,31,65,63,25,2,14,93,72,0
62,112,31,65,63,25,2,14,93,72,0
118,105,72,73,96,35,88,136,100,90,0
72,11,35,53,93,118,88,136,84,79,100
111,74,24,125,46,69,28,62,99,102,100
112,2,62,102,8,42,128,72,51,84,100
112,2,62,102,8,42,128,72,51,84,100
12,88,85,132,48,106,84,50,35,80,0
24,7,96,40,77,44,11,45,51,48,0
24,7,96,40,77,44,11,45,51,48,0
62,72,40,77,109,127,75,95,25,88,0
62,11,0,127,21,75,112,99,45,142,0
146,118,65,62,112,59,132,92,72,74,100
62,72,63,31,132,99,2,32,43,113,100
77,35,139,65,100,88,66,99,29,55,0
73,121,74,136,94,139,16,114,35,112,100
14,38,44,2,62,35,7,59,100,85,0
73,100,61,65,63,21,118,72,25,84,100
79,121,72,111,118,96,113,62,20,126,0
65,99,82,14,131,114,100,31,23,139,100
72,100,118,142,2,93,116,85,99,35,0
99,61,72,43,59,40,77,25,102,126,0
99,73,79,50,85,89,113,126,114,94,100
42,23,69,114,65,122,24,99,0,45,0
15,0,79,74,65,132,126,111,92,99,100
122,11,62,73,65,77,99,51,139,100,0
122,11,62,73,65,77,99,51,139,100,0
72,92,50,34,11,82,7,105,99,61,0
100,79,121,112,65,83,85,114,63,72,100
62,3,119,16,17,106,20,51,96,35,0
63,0,92,114,72,111,29,65,51,133,0
14,95,92,2,126,72,63,16,62,111,100
14,95,92,2,126,72,63,16,62,111,100
96,87,65,138,18,46,92,32,52,11,100
80,46,68,24,99,72,139,40,25,63,0
32,99,63,114,85,109,2,97,62,72,100
7,65,118,114,88,113,24,142,0,99,0
7,65,118,114,88,113,24,142,0,99,0
99,56,62,127,69,24,113,97,0,126,100
99,56,62,127,69,24,113,97,0,126,100
99,56,62,127,69,24,113,97,0,126,100
96,72,29,63,82,16,111,118,126,92,100
132,92,36,99,14,62,97,87,65,72,0
79,73,15,11,93,17,126,113,62,111,100
79,73,15,11,93,17,126,113,62,111,100
63,139,48,35,65,62,14,46,80,97,100
115,77,17,35,85,99,62,73,114,118,100
97,145,36,99,11,40,67,88,51,62,0
24,32,99,93,113,65,29,77,114,112,0
99,2,113,142,65,63,97,7,92,31,0
99,2,113,142,65,63,97,7,92,31,0
132,87,51,27,119,99,122,25,44,113,0
51,11,45,2,27,43,99,70,87,85,0
28,27,29,37,21,65,139,89,98,14,0
16,72,87,88,35,118,48,139,29,51,0
146,65,31,92,72,99,61,132,14,85,100
68,136,118,62,122,72,37,0,87,129,0
117,35,142,139,65,46,112,68,62,3,0
62,59,53,118,38,77,52,25,136,86,100
92,56,47,77,132,2,35,63,72,36,0
130,139,29,77,48,7,132,35,118,18,100
92,126,88,87,96,72,146,84,62,118,100
25,47,111,85,14,88,99,142,7,62,100
126,100,99,144,58,145,65,73,26,72,100
99,102,25,93,63,59,51,74,114,40,100
84,128,88,72,100,132,62,17,77,119,100
74,53,124,100,72,57,48,33,77,115,0
96,72,118,85,25,100,126,112,35,116,0
72,93,25,87,118,45,46,2,81,63,100
72,93,25,87,118,45,46,2,81,63,100
88,17,77,7,94,99,29,25,73,11,0
97,92,112,65,63,113,51,99,59,88,100
0,88,101,99,118,79,35,72,95,77,0
114,143,37,2,118,61,80,62,27,14,100
118,88,146,112,29,72,114,111,63,16,100
142,100,128,145,114,57,1,75,13,27,100
109,126,88,0,139,6,113,62,73,8,0
49,79,7,116,38,0,21,112,92,77,0
24,62,11,48,100,79,85,72,86,116,100
93,24,0,65,77,118,99,114,94,21,100
45,12,89,24,65,99,72,73,40,51,100
72,40,88,12,24,0,126,146,62,118,0
72,40,88,12,24,0,126,146,62,118,0
119,118,40,98,2,12,16,136,112,21,0
9,7,33,118,62,27,145,138,122,2,100
9,7,33,118,62,27,145,138,122,2,100
9,7,33,118,62,27,145,138,122,2,100
2,145,0,62,136,142,72,53,92,11,0
77,5,72,51,32,45,106,43,69,14,100
77,5,72,51,32,45,106,43,69,14,100
126,12,52,0,92,121,16,99,35,109,100
112,40,62,72,99,15,92,80,74,84,0
99,122,113,40,35,112,116,29,126,62,0
99,122,113,40,35,112,116,29,126,62,0
44,96,14,36,72,77,129,88,138,117,100
84,118,139,21,72,142,43,90,24,65,0
79,11,84,27,112,106,87,2,35,139,0
92,132,72,63,40,7,93,77,58,61,0
87,74,65,96,100,46,115,44,103,63,0
87,74,65,96,100,46,115,44,103,63,0
61,92,73,118,7,84,139,132,62,90,100
35,87,61,88,136,36,65,118,68,5,100
2,25,136,90,85,14,132,73,72,62,100
2,25,136,90,85,14,132,73,72,62,100
2,25,136,90,85,14,132,73,72,62,100
109,82,111,72,18,53,62,65,118,46,100
90,48,30,84,139,32,62,11,146,72,100
37,112,110,2,15,24,3,11,65,139,0
21,136,87,62,97,82,90,72,2,33,100
65,84,24,143,118,5,72,63,91,62,0
103,126,16,113,100,21,93,63,72,139,100
115,133,128,29,145,61,72,87,34,101,0
145,27,50,82,84,85,0,62,17,114,0
145,27,50,82,84,85,0,62,17,114,0
145,27,50,82,84,85,0,62,17,114,0
62,139,100,53,99,44,90,136,94,41,0
46,85,84,122,114,40,99,72,111,101,100
82,29,12,48,13,81,2,65,77,46,100
57,3,51,143,100,77,2,16,79,48,100
72,2,74,65,25,127,11,27,88,51,0
139,113,62,7,2,118,96,99,88,25,0
27,112,88,99,0,62,73,84,38,46,100
65,115,12,79,72,131,139,63,103,85,0
65,115,12,79,72,131,139,63,103,85,0
93,114,113,85,99,47,0,87,51,75,0
2,109,82,40,139,45,12,44,84,62,0
2,109,82,40,139,45,12,44,84,62,0
2,109,82,40,139,45,12,44,84,62,0
116,71,97,118,65,2,27,101,77,115,0
95,66,9,107,47,85,45,51,99,72,100
27,84,141,73,62,99,40,38,2,36,0
27,84,141,73,62,99,40,38,2,36,0
27,84,141,73,62,99,40,38,2,36,0
75,17,55,87,0,72,111,95,90,53,0
75,17,55,87,0,72,111,95,90,53,0
145,24,73,57,65,72,12,40,58,96,100
48,114,143,82,77,132,83,99,72,88,0
48,114,143,82,77,132,83,99,72,88,0
63,15,105,122,91,3,72,30,62,139,100
63,15,105,122,91,3,72,30,62,139,100
46,96,65,100,42,12,132,111,82,7,0
45,77,139,114,73,118,48,79,86,80,100
79,118,53,7,93,40,139,63,24,99,100
64,138,99,27,139,2,132,42,72,82,100
23,12,115,62,54,7,11,139,84,35,100
86,2,14,65,99,77,119,112,55,84,100
86,2,14,65,99,77,119,112,55,84,100
86,2,14,65,99,77,119,112,55,84,100
50,27,40,25,132,65,74,15,97,138,100
50,27,40,25,132,65,74,15,97,138,100
118,2,33,25,65,111,51,72,31,109,0
72,12,73,138,111,65,35,84,99,139,100
72,12,73,138,111,65,35,84,99,139,100
77,100,21,99,92,118,25,7,2,65,100
77,100,21,99,92,118,25,7,2,65,100
3,17,114,85,115,118,62,2,136,83,0
32,62,87,48,146,145,71,27,116,2,100
82,38,147,29,87,101,84,30,72,115,0
136,62,146,84,90,46,21,24,29,118,0
73,17,65,43,42,29,40,141,47,25,100
19,134,7,105,14,2,31,42,43,23,100
19,134,7,105,14,2,31,42,43,23,100
100,99,14,55,2,84,143,87,101,72,100
63,48,112,17,92,116,65,73,126,130,0
65,77,100,35,139,42,59,24,99,111,0
74,44,132,107,83,62,113,84,24,99,100
36,112,90,82,24,111,11,52,23,29,100
79,62,72,75,65,99,61,113,92,16,100
82,47,32,24,11,29,88,106,141,25,0
64,88,40,12,112,25,85,52,99,16,0
74,95,71,116,50,7,85,114,77,92,0
9,44,72,62,70,29,19,139,77,25,100
2,47,79,40,74,90,142,65,32,99,100
17,118,100,48,139,136,90,24,65,51,100
83,15,62,96,118,117,50,72,88,24,100
86,1,84,72,51,20,87,112,49,37,0
86,1,84,72,51,20,87,112,49,37,0
97,40,3,88,72,113,27,121,6,7,100
62,126,0,6,14,27,63,16,114,65,0
12,24,99,132,139,65,96,116,61,62,100
11,76,43,97,99,12,95,88,7,53,100
62,51,7,105,14,61,82,87,16,127,0
17,88,43,63,7,109,132,139,61,62,0
146,72,65,92,118,84,94,113,67,99,100
112,33,25,63,87,100,99,140,113,38,100
111,81,139,35,17,141,136,43,134,88,0
45,63,136,79,21,92,118,35,17,47,100
2,102,62,87,99,0,96,92,7,118,0
25,72,143,34,63,74,15,62,112,132,100
15,16,109,143,24,139,111,29,127,42,100
99,61,113,25,0,12,79,102,139,126,100
32,132,101,23,42,25,68,99,72,139,0
112,23,25,87,100,49,38,29,62,118,100
145,32,57,24,48,72,112,25,77,0,100
119,111,63,35,66,30,92,118,72,96,100
12,65,84,82,72,118,24,15,0,36,100
89,62,9,65,63,139,92,3,7,2,0
2,72,40,63,142,116,20,126,30,55,100
132,57,65,20,99,84,72,138,42,2,100
62,112,99,16,113,128,118,72,51,44,100
83,100,75,92,65,43,143,2,7,109,100
92,99,40,52,7,15,87,62,121,2,100
62,73,126,61,12,11,7,25,143,86,0
2,99,59,65,62,96,52,118,72,35,100
11,52,65,25,84,72,117,115,77,112,100
7,20,25,63,73,82,40,132,42,126,100
67,9,73,58,72,139,111,35,42,126,100
2,12,73,136,92,52,97,99,118,55,100
132,65,37,27,142,143,25,77,0,72,0
16,11,112,82,2,132,63,48,35,32,100
113,143,51,99,54,118,92,73,106,132,0
92,146,96,99,113,2,84,77,43,72,100
88,145,117,72,53,139,27,11,25,85,100
95,7,79,84,66,51,139,99,77,80,0
75,16,92,112,7,87,25,15,11,40,100
111,99,139,118,32,52,65,63,98,40,100
111,99,139,118,32,52,65,63,98,40,100
32,40,27,11,25,21,68,7,99,82,100
95,131,123,47,58,142,84,9,27,11,100
88,95,46,63,114,75,72,98,21,40,100
141,56,116,71,72,0,136,37,97,28,0
19,62,29,72,63,100,35,67,24,46,0
61,11,85,100,26,115,75,51,15,65,100
99,128,72,21,62,40,65,11,25,112,0
99,128,72,21,62,40,65,11,25,112,0
88,72,41,12,18,73,99,62,113,97,100
79,0,77,136,131,82,146,29,42,65,100
109,2,25,65,100,104,62,72,99,61,100
73,144,77,139,62,102,65,146,87,92,100
42,64,72,82,20,73,142,35,7,139,100
90,20,99,61,62,72,84,63,114,34,0
1,16,23,42,43,0,24,109,65,17,100
75,79,30,72,0,37,59,145,114,29,100
52,72,108,40,62,99,119,8,29,79,0
52,72,108,40,62,99,119,8,29,79,0
24,15,129,146,16,99,113,22,37,111,0
24,15,129,146,16,99,113,22,37,111,0
2,135,42,114,27,51,102,139,136,12,100
